Date,Time,Temp °C,SpCond µS/cm
4/20/19,6:00:00,3.028,44.4
4/20/19,7:00:00,3.013,44.6
4/20/19,8:00:00,3.034,44.9
4/20/19,9:00:00,3.102,45.1
4/20/19,10:00:00,3.227,45.4
4/20/19,11:00:00,3.433,45.6
4/20/19,12:00:00,3.615,45.8
4/20/19,13:00:00,3.789,46
4/20/19,14:00:00,4.014,46.2
4/20/19,15:00:00,4.276,46.4
4/20/19,16:00:00,4.492,46.7
4/20/19,17:00:00,4.617,46.8
4/20/19,18:00:00,4.653,47
4/20/19,19:00:00,4.658,47.2
4/20/19,20:00:00,4.597,47.3
4/20/19,21:00:00,4.501,47.5
4/20/19,22:00:00,4.398,47.7
4/20/19,23:00:00,4.273,47.8
4/21/19,0:00:00,4.149,47.8
4/21/19,1:00:00,4.024,47.9
4/21/19,2:00:00,3.909,47.8
4/21/19,3:00:00,3.803,47.8
4/21/19,4:00:00,3.709,47.8
4/21/19,5:00:00,3.621,47.9
4/21/19,6:00:00,3.549,47.9
4/21/19,7:00:00,3.495,48
4/21/19,8:00:00,3.473,48.1
4/21/19,9:00:00,3.487,48.2
4/21/19,10:00:00,3.523,48.3
4/21/19,11:00:00,3.63,48.4
4/21/19,12:00:00,3.707,48.5
4/21/19,13:00:00,3.779,48.6
4/21/19,14:00:00,3.873,48.6
4/21/19,15:00:00,4,48.6
4/21/19,16:00:00,4.096,48.7
4/21/19,17:00:00,4.147,48.7
4/21/19,18:00:00,4.178,48.7
4/21/19,19:00:00,4.164,48.7
4/21/19,20:00:00,4.118,48.6
4/21/19,21:00:00,4.056,48.5
4/21/19,22:00:00,3.988,48.2
4/21/19,23:00:00,3.919,47.9
4/22/19,0:00:00,3.839,47.3
4/22/19,1:00:00,3.761,46.5
4/22/19,2:00:00,3.684,45.6
4/22/19,3:00:00,3.607,44.6
4/22/19,4:00:00,3.538,43.7
4/22/19,5:00:00,3.467,42.8
4/22/19,6:00:00,3.408,42
4/22/19,7:00:00,3.371,41.3
4/22/19,8:00:00,3.349,40.7
4/22/19,9:00:00,3.341,40.1
4/22/19,10:00:00,3.363,39.5
4/22/19,11:00:00,3.392,39
4/22/19,12:00:00,3.457,38.2
4/22/19,13:00:00,3.633,37.4
4/22/19,14:00:00,3.722,36.4
4/22/19,15:00:00,3.811,35.2
4/22/19,16:00:00,3.866,33.8
4/22/19,17:00:00,3.895,32.2
4/22/19,18:00:00,3.812,30.9
4/22/19,19:00:00,3.676,30.2
4/22/19,20:00:00,3.499,30
4/22/19,21:00:00,3.301,30.3
4/22/19,22:00:00,3.168,30.8
4/22/19,23:00:00,3.077,31.4
4/23/19,0:00:00,3.003,32.1
4/23/19,1:00:00,2.941,32.9
4/23/19,2:00:00,2.871,33.6
4/23/19,3:00:00,2.815,34.3
4/23/19,4:00:00,2.776,35
4/23/19,5:00:00,2.755,35.7
4/23/19,6:00:00,2.737,36.3
4/23/19,7:00:00,2.726,36.8
4/23/19,8:00:00,2.741,37.4
