,Discharge.2018@Berners Bay,Discharge.2018@Berners Bay,Discharge.2018@Berners Bay,Discharge.2018@Berners Bay
mm/dd/yyyy HH:MM:SS,m^3/s,,,
Date-Time,Value,Grade,Approval,Interpolation Code
03/04/2019 01:45:00,1.97711144635222,,0,1
03/04/2019 02:00:00,1.98687737853844,,0,1
03/04/2019 02:15:00,1.98687737853844,,0,1
03/04/2019 02:30:00,1.96736918971601,,0,1
03/04/2019 02:45:00,1.93828449186532,,0,1
03/04/2019 03:00:00,1.91421006263405,,0,1
03/04/2019 03:15:00,1.85703552863715,,0,1
03/04/2019 03:30:00,1.75443174125239,,0,1
03/04/2019 03:45:00,1.74066264052854,,0,1
03/04/2019 04:00:00,1.74066264052854,,0,1
03/04/2019 04:15:00,1.74983611045184,,0,1
03/04/2019 04:30:00,1.71328458218801,,0,1
03/04/2019 04:45:00,1.72694691858566,,0,1
03/04/2019 05:00:00,1.71328458218801,,0,1
03/04/2019 05:15:00,1.72694691858566,,0,1
03/04/2019 05:30:00,1.6906326745315,,0,1
03/04/2019 05:45:00,1.70874233468313,,0,1
03/04/2019 06:00:00,1.69967563812796,,0,1
03/04/2019 06:15:00,1.68612009322631,,0,1
03/04/2019 06:30:00,1.66812911055757,,0,1
03/04/2019 06:45:00,1.66812911055757,,0,1
03/04/2019 07:00:00,1.68161344592176,,0,1
03/04/2019 07:15:00,1.67261795433246,,0,1
03/04/2019 07:30:00,1.68612009322631,,0,1
03/04/2019 07:45:00,1.68161344592176,,0,1
03/04/2019 08:00:00,1.68161344592176,,0,1
03/04/2019 08:15:00,1.70874233468313,,0,1
03/04/2019 08:30:00,1.72694691858566,,0,1
03/04/2019 08:45:00,1.74983611045184,,0,1
03/04/2019 09:00:00,1.74524641012738,,0,1
03/04/2019 09:15:00,1.78676718930174,,0,1
03/04/2019 09:30:00,1.81939313354635,,0,1
03/04/2019 09:45:00,1.89505711299449,,0,1
03/04/2019 10:00:00,1.97223735847339,,0,1
03/04/2019 10:15:00,2.03111700832105,,0,1
03/04/2019 10:30:00,2.13620616804996,,0,1
03/04/2019 10:45:00,2.26471128940297,,0,1
03/04/2019 11:00:00,2.39690768532053,,0,1
03/04/2019 11:15:00,2.5604111282984,,0,1
03/04/2019 11:30:00,2.67236098457978,,0,1
03/04/2019 11:45:00,2.74066195626515,,0,1
03/04/2019 12:00:00,2.7924441205895,,0,1
03/04/2019 12:15:00,2.8098108014461,,0,1
03/04/2019 12:30:00,2.93286046088543,,0,1
03/04/2019 12:45:00,3.05246210536774,,0,1
03/04/2019 13:00:00,3.13758227574962,,0,1
03/04/2019 13:15:00,3.174414894219,,0,1
03/04/2019 13:30:00,3.14370635839993,,0,1
03/04/2019 13:45:00,3.10096116686057,,0,1
03/04/2019 14:00:00,2.98041888568562,,0,1
03/04/2019 14:15:00,2.89743866498934,,0,1
03/04/2019 14:30:00,2.81561146664102,,0,1
03/04/2019 14:45:00,2.76361737995886,,0,1
03/04/2019 15:00:00,2.70640546491526,,0,1
03/04/2019 15:15:00,2.68368558526415,,0,1
03/04/2019 15:30:00,2.61609143651142,,0,1
03/04/2019 15:45:00,2.63291043992802,,0,1
03/04/2019 16:00:00,2.61049688656355,,0,1
03/04/2019 16:15:00,2.58261252985452,,0,1
03/04/2019 16:30:00,2.55487551346822,,0,1
03/04/2019 16:45:00,2.54382196790813,,0,1
03/04/2019 17:00:00,2.51629127082291,,0,1
03/04/2019 17:15:00,2.49984360375368,,0,1
03/04/2019 17:30:00,2.50532026303069,,0,1
03/04/2019 17:45:00,2.51080281878926,,0,1
03/04/2019 18:00:00,2.47254876183455,,0,1
03/04/2019 18:15:00,2.43998957877406,,0,1
03/04/2019 18:30:00,2.42378962062178,,0,1
03/04/2019 18:45:00,2.38619621435074,,0,1
03/04/2019 19:00:00,2.33299295858175,,0,1
03/04/2019 19:15:00,2.31714708484245,,0,1
03/04/2019 19:30:00,2.28561474742742,,0,1
03/04/2019 19:45:00,2.311876934364,,0,1
03/04/2019 20:00:00,2.2335332875092,,0,1
03/04/2019 20:15:00,2.23871485409263,,0,1
03/04/2019 20:30:00,2.2335332875092,,0,1
03/04/2019 20:45:00,2.2335332875092,,0,1
03/04/2019 21:00:00,2.20771406904441,,0,1
03/04/2019 21:15:00,2.22835762826297,,0,1
03/04/2019 21:30:00,2.24390232779398,,0,1
03/04/2019 21:45:00,2.20771406904441,,0,1
03/04/2019 22:00:00,2.19742773917857,,0,1
03/04/2019 22:15:00,2.22835762826297,,0,1
03/04/2019 22:30:00,2.2335332875092,,0,1
03/04/2019 22:45:00,2.20256794978232,,0,1
03/04/2019 23:00:00,2.22318787657346,,0,1
03/04/2019 23:15:00,2.17692598777376,,0,1
03/04/2019 23:30:00,2.22835762826297,,0,1
03/04/2019 23:45:00,2.21802403266043,,0,1
03/05/2019 00:00:00,2.20256794978232,,0,1
03/05/2019 00:15:00,2.22318787657346,,0,1
03/05/2019 00:30:00,2.2335332875092,,0,1
03/05/2019 00:45:00,2.24390232779398,,0,1
03/05/2019 01:00:00,2.23871485409263,,0,1
03/05/2019 01:15:00,2.21802403266043,,0,1
03/05/2019 01:30:00,2.20771406904441,,0,1
03/05/2019 01:45:00,2.20771406904441,,0,1
03/05/2019 02:00:00,2.19742773917857,,0,1
03/05/2019 02:15:00,2.17181532378417,,0,1
03/05/2019 02:30:00,2.15143176994721,,0,1
03/05/2019 02:45:00,2.10088667853727,,0,1
03/05/2019 03:00:00,2.11094839897903,,0,1
03/05/2019 03:15:00,2.09084861062899,,0,1
03/05/2019 03:30:00,2.04597005390495,,0,1
03/05/2019 03:45:00,2.05093290069132,,0,1
03/05/2019 04:00:00,2.04101312276116,,0,1
03/05/2019 04:15:00,2.03111700832105,,0,1
03/05/2019 04:30:00,1.98687737853844,,0,1
03/05/2019 04:45:00,2.00157066438801,,0,1
03/05/2019 05:00:00,1.97223735847339,,0,1
03/05/2019 05:15:00,1.95765061050316,,0,1
03/05/2019 05:30:00,1.97223735847339,,0,1
03/05/2019 05:45:00,1.94311714096264,,0,1
03/05/2019 06:00:00,1.92863695621142,,0,1
03/05/2019 06:15:00,1.94311714096264,,0,1
03/05/2019 06:30:00,1.94795571059191,,0,1
03/05/2019 06:45:00,1.94795571059191,,0,1
03/05/2019 07:00:00,1.97223735847339,,0,1
03/05/2019 07:15:00,1.94795571059191,,0,1
03/05/2019 07:30:00,1.96736918971601,,0,1
03/05/2019 07:45:00,1.99666698440618,,0,1
03/05/2019 08:00:00,1.97711144635222,,0,1
03/05/2019 08:15:00,1.98687737853844,,0,1
03/05/2019 08:30:00,1.99176922237872,,0,1
03/05/2019 08:45:00,1.99666698440618,,0,1
03/05/2019 09:00:00,2.03606210748981,,0,1
03/05/2019 09:15:00,2.07084343967582,,0,1
03/05/2019 09:30:00,2.08083419706878,,0,1
03/05/2019 09:45:00,2.11598812833414,,0,1
03/05/2019 10:00:00,2.16671056978381,,0,1
03/05/2019 10:15:00,2.19742773917857,,0,1
03/05/2019 10:30:00,2.28561474742742,,0,1
03/05/2019 10:45:00,2.41840143350527,,0,1
03/05/2019 11:00:00,2.49437284116492,,0,1
03/05/2019 11:15:00,2.55487551346822,,0,1
03/05/2019 11:30:00,2.57705333853796,,0,1
